ID,A,B,C,D,r
205,1,1,5,2,6
206,1,1,5,2,7
207,1,1,5,2,8
208,1,1,5,3,1
209,1,1,5,3,2
210,1,1,5,3,3
211,1,1,5,3,4
212,1,1,5,3,5
213,1,1,5,3,6
214,1,1,5,3,7
215,1,1,5,3,8
216,1,1,5,4,1
217,1,1,5,4,2
218,1,1,5,4,3
219,1,1,5,4,4
220,1,1,5,4,5
221,1,1,5,4,6
222,1,1,5,4,7
223,1,1,5,4,8
224,1,1,5,5,1
225,1,1,5,5,2
226,1,1,5,5,3
227,1,1,5,5,4
228,1,1,5,5,5
229,1,1,5,5,6
230,1,1,5,5,7
231,1,1,5,5,8
232,1,1,5,6,1
233,1,1,5,6,2
234,1,1,5,6,3
235,1,1,5,6,4
236,1,1,5,6,5
237,1,1,5,6,6
238,1,1,5,6,7
239,1,1,5,6,8
240,1,1,6,1,1
241,1,1,6,1,2
242,1,1,6,1,3
243,1,1,6,1,4
244,1,1,6,1,5
245,1,1,6,1,6
246,1,1,6,1,7
247,1,1,6,1,8
248,1,1,6,2,1
249,1,1,6,2,2
250,1,1,6,2,3
251,1,1,6,2,4
252,1,1,6,2,5
253,1,1,6,2,6
254,1,1,6,2,7
255,1,1,6,2,8
256,1,1,6,3,1
257,1,1,6,3,2
258,1,1,6,3,3
259,1,1,6,3,4
260,1,1,6,3,5
261,1,1,6,3,6
262,1,1,6,3,7
263,1,1,6,3,8
264,1,1,6,4,1
265,1,1,6,4,2
266,1,1,6,4,3
267,1,1,6,4,4
268,1,1,6,4,5
269,1,1,6,4,6
270,1,1,6,4,7
271,1,1,6,4,8
272,1,1,6,5,1
273,1,1,6,5,2
274,1,1,6,5,3
275,1,1,6,5,4
276,1,1,6,5,5
277,1,1,6,5,6
278,1,1,6,5,7
279,1,1,6,5,8
280,1,1,6,6,1
281,1,1,6,6,2
282,1,1,6,6,3
283,1,1,6,6,4
284,1,1,6,6,5
285,1,1,6,6,6
286,1,1,6,6,7
287,1,1,6,6,8
288,1,1,7,1,1
289,1,1,7,1,2
290,1,1,7,1,3
291,1,1,7,1,4
292,1,1,7,1,5
293,1,1,7,1,6
294,1,1,7,1,7
295,1,1,7,1,8
296,1,1,7,2,1
297,1,1,7,2,2
298,1,1,7,2,3
299,1,1,7,2,4
300,1,1,7,2,5
301,1,1,7,2,6
302,1,1,7,2,7
303,1,1,7,2,8
304,1,1,7,3,1
305,1,1,7,3,2
306,1,1,7,3,3
307,1,1,7,3,4
308,1,1,7,3,5
309,1,1,7,3,6
310,1,1,7,3,7
311,1,1,7,3,8
312,1,1,7,4,1
313,1,1,7,4,2
314,1,1,7,4,3
315,1,1,7,4,4
316,1,1,7,4,5
317,1,1,7,4,6
318,1,1,7,4,7
319,1,1,7,4,8
320,1,1,7,5,1
321,1,1,7,5,2
322,1,1,7,5,3
323,1,1,7,5,4
324,1,1,7,5,5
325,1,1,7,5,6
326,1,1,7,5,7
327,1,1,7,5,8
328,1,1,7,6,1
329,1,1,7,6,2
330,1,1,7,6,3
331,1,1,7,6,4
332,1,1,7,6,5
333,1,1,7,6,6
334,1,1,7,6,7
335,1,1,7,6,8
336,1,1,8,1,1
337,1,1,8,1,2
338,1,1,8,1,3
339,1,1,8,1,4
340,1,1,8,1,5
341,1,1,8,1,6
342,1,1,8,1,7
343,1,1,8,1,8
344,1,1,8,2,1
345,1,1,8,2,2
346,1,1,8,2,3
347,1,1,8,2,4
348,1,1,8,2,5
349,1,1,8,2,6
350,1,1,8,2,7
351,1,1,8,2,8
352,1,1,8,3,1
353,1,1,8,3,2
354,1,1,8,3,3
355,1,1,8,3,4
356,1,1,8,3,5
357,1,1,8,3,6
358,1,1,8,3,7
359,1,1,8,3,8
360,1,1,8,4,1
361,1,1,8,4,2
362,1,1,8,4,3
363,1,1,8,4,4
364,1,1,8,4,5
365,1,1,8,4,6
366,1,1,8,4,7
367,1,1,8,4,8
368,1,1,8,5,1
369,1,1,8,5,2
370,1,1,8,5,3
371,1,1,8,5,4
372,1,1,8,5,5
373,1,1,8,5,6
374,1,1,8,5,7
375,1,1,8,5,8
376,1,1,8,6,1
377,1,1,8,6,2
378,1,1,8,6,3
379,1,1,8,6,4
380,1,1,8,6,5
381,1,1,8,6,6
382,1,1,8,6,7
383,1,1,8,6,8
384,1,1,9,1,1
385,1,1,9,1,2
386,1,1,9,1,3
387,1,1,9,1,4
388,1,1,9,1,5
389,1,1,9,1,6
390,1,1,9,1,7
391,1,1,9,1,8
392,1,1,9,2,1
393,1,1,9,2,2
394,1,1,9,2,3
395,1,1,9,2,4
396,1,1,9,2,5
397,1,1,9,2,6
398,1,1,9,2,7
399,1,1,9,2,8
400,1,1,9,3,1
401,1,1,9,3,2
402,1,1,9,3,3
403,1,1,9,3,4
404,1,1,9,3,5
405,1,1,9,3,6
406,1,1,9,3,7
407,1,1,9,3,8
408,1,1,9,4,1
409,1,1,9,4,2
410,1,1,9,4,3
411,1,1,9,4,4
412,1,1,9,4,5
413,1,1,9,4,6
414,1,1,9,4,7
415,1,1,9,4,8
416,1,1,9,5,1
417,1,1,9,5,2
418,1,1,9,5,3
419,1,1,9,5,4
420,1,1,9,5,5
421,1,1,9,5,6
422,1,1,9,5,7
423,1,1,9,5,8
424,1,1,9,6,1
425,1,1,9,6,2
426,1,1,9,6,3
427,1,1,9,6,4
428,1,1,9,6,5
429,1,1,9,6,6
430,1,1,9,6,7
431,1,1,9,6,8
432,1,1,10,1,1
433,1,1,10,1,2
434,1,1,10,1,3
435,1,1,10,1,4
436,1,1,10,1,5
437,1,1,10,1,6
438,1,1,10,1,7
439,1,1,10,1,8
440,1,1,10,2,1
441,1,1,10,2,2
442,1,1,10,2,3
443,1,1,10,2,4
444,1,1,10,2,5
445,1,1,10,2,6
446,1,1,10,2,7
447,1,1,10,2,8
448,1,1,10,3,1
449,1,1,10,3,2
450,1,1,10,3,3
451,1,1,10,3,4
452,1,1,10,3,5
453,1,1,10,3,6
454,1,1,10,3,7
455,1,1,10,3,8
456,1,1,10,4,1
457,1,1,10,4,2
458,1,1,10,4,3
459,1,1,10,4,4
460,1,1,10,4,5
461,1,1,10,4,6
462,1,1,10,4,7
463,1,1,10,4,8
464,1,1,10,5,1
465,1,1,10,5,2
466,1,1,10,5,3
467,1,1,10,5,4
468,1,1,10,5,5
469,1,1,10,5,6
470,1,1,10,5,7
471,1,1,10,5,8
472,1,1,10,6,1
473,1,1,10,6,2
474,1,1,10,6,3
475,1,1,10,6,4
476,1,1,10,6,5
477,1,1,10,6,6
478,1,1,10,6,7
479,1,1,10,6,8
480,1,1,11,1,1
481,1,1,11,1,2
482,1,1,11,1,3
483,1,1,11,1,4
484,1,1,11,1,5
485,1,1,11,1,6
486,1,1,11,1,7
487,1,1,11,1,8
488,1,1,11,2,1
489,1,1,11,2,2
490,1,1,11,2,3
491,1,1,11,2,4
492,1,1,11,2,5
493,1,1,11,2,6
494,1,1,11,2,7
495,1,1,11,2,8
496,1,1,11,3,1
497,1,1,11,3,2
498,1,1,11,3,3
499,1,1,11,3,4
500,1,1,11,3,5
501,1,1,11,3,6
502,1,1,11,3,7
503,1,1,11,3,8
504,1,1,11,4,1
505,1,1,11,4,2
506,1,1,11,4,3
507,1,1,11,4,4
508,1,1,11,4,5
509,1,1,11,4,6
510,1,1,11,4,7
511,1,1,11,4,8
512,1,1,11,5,1
513,1,1,11,5,2
514,1,1,11,5,3
515,1,1,11,5,4
516,1,1,11,5,5
517,1,1,11,5,6
518,1,1,11,5,7
519,1,1,11,5,8
520,1,1,11,6,1
521,1,1,11,6,2
522,1,1,11,6,3
523,1,1,11,6,4
524,1,1,11,6,5
525,1,1,11,6,6
526,1,1,11,6,7
527,1,1,11,6,8
528,1,1,12,1,1
529,1,1,12,1,2
530,1,1,12,1,3
531,1,1,12,1,4
532,1,1,12,1,5
533,1,1,12,1,6
534,1,1,12,1,7
535,1,1,12,1,8
536,1,1,12,2,1
537,1,1,12,2,2
538,1,1,12,2,3
539,1,1,12,2,4
540,1,1,12,2,5
541,1,1,12,2,6
542,1,1,12,2,7
543,1,1,12,2,8
544,1,1,12,3,1
545,1,1,12,3,2
546,1,1,12,3,3
547,1,1,12,3,4
548,1,1,12,3,5
549,1,1,12,3,6
550,1,1,12,3,7
551,1,1,12,3,8
552,1,1,12,4,1
553,1,1,12,4,2
554,1,1,12,4,3
555,1,1,12,4,4
556,1,1,12,4,5
557,1,1,12,4,6
558,1,1,12,4,7
559,1,1,12,4,8
560,1,1,12,5,1
561,1,1,12,5,2
562,1,1,12,5,3
563,1,1,12,5,4
564,1,1,12,5,5
565,1,1,12,5,6
566,1,1,12,5,7
567,1,1,12,5,8
568,1,1,12,6,1
569,1,1,12,6,2
570,1,1,12,6,3
571,1,1,12,6,4
572,1,1,12,6,5
573,1,1,12,6,6
574,1,1,12,6,7
575,1,1,12,6,8
576,1,1,13,1,1
577,1,1,13,1,2
578,1,1,13,1,3
579,1,1,13,1,4
580,1,1,13,1,5
581,1,1,13,1,6
582,1,1,13,1,7
583,1,1,13,1,8
584,1,1,13,2,1
585,1,1,13,2,2
586,1,1,13,2,3
587,1,1,13,2,4
588,1,1,13,2,5
589,1,1,13,2,6
590,1,1,13,2,7
591,1,1,13,2,8
592,1,1,13,3,1
593,1,1,13,3,2
594,1,1,13,3,3
595,1,1,13,3,4
596,1,1,13,3,5
597,1,1,13,3,6
598,1,1,13,3,7
599,1,1,13,3,8
600,1,1,13,4,1
601,1,1,13,4,2
602,1,1,13,4,3
603,1,1,13,4,4
604,1,1,13,4,5
605,1,1,13,4,6
606,1,1,13,4,7
607,1,1,13,4,8
608,1,1,13,5,1
609,1,1,13,5,2
610,1,1,13,5,3
611,1,1,13,5,4
612,1,1,13,5,5
613,1,1,13,5,6
614,1,1,13,5,7
615,1,1,13,5,8
616,1,1,13,6,1
617,1,1,13,6,2
618,1,1,13,6,3
619,1,1,13,6,4
620,1,1,13,6,5
621,1,1,13,6,6
622,1,1,13,6,7
623,1,1,13,6,8
624,1,1,14,1,1
625,1,1,14,1,2
626,1,1,14,1,3
627,1,1,14,1,4
628,1,1,14,1,5
629,1,1,14,1,6
630,1,1,14,1,7
631,1,1,14,1,8
632,1,1,14,2,1
633,1,1,14,2,2
634,1,1,14,2,3
635,1,1,14,2,4
636,1,1,14,2,5
637,1,1,14,2,6
638,1,1,14,2,7
639,1,1,14,2,8
640,1,1,14,3,1
641,1,1,14,3,2
642,1,1,14,3,3
643,1,1,14,3,4
644,1,1,14,3,5
645,1,1,14,3,6
646,1,1,14,3,7
647,1,1,14,3,8
648,1,1,14,4,1
649,1,1,14,4,2
650,1,1,14,4,3
651,1,1,14,4,4
652,1,1,14,4,5
653,1,1,14,4,6
654,1,1,14,4,7
655,1,1,14,4,8
656,1,1,14,5,1
657,1,1,14,5,2
658,1,1,14,5,3
659,1,1,14,5,4
660,1,1,14,5,5
661,1,1,14,5,6
662,1,1,14,5,7
663,1,1,14,5,8
664,1,1,14,6,1
665,1,1,14,6,2
666,1,1,14,6,3
667,1,1,14,6,4
668,1,1,14,6,5
669,1,1,14,6,6
670,1,1,14,6,7
671,1,1,14,6,8
672,1,1,15,1,1
673,1,1,15,1,2
674,1,1,15,1,3
675,1,1,15,1,4
676,1,1,15,1,5
677,1,1,15,1,6
678,1,1,15,1,7
679,1,1,15,1,8
680,1,1,15,2,1
681,1,1,15,2,2
682,1,1,15,2,3
683,1,1,15,2,4
684,1,1,15,2,5
685,1,1,15,2,6
686,1,1,15,2,7
687,1,1,15,2,8
688,1,1,15,3,1
689,1,1,15,3,2
690,1,1,15,3,3
691,1,1,15,3,4
692,1,1,15,3,5
693,1,1,15,3,6
694,1,1,15,3,7
695,1,1,15,3,8
696,1,1,15,4,1
697,1,1,15,4,2
698,1,1,15,4,3
699,1,1,15,4,4
700,1,1,15,4,5
701,1,1,15,4,6
702,1,1,15,4,7
703,1,1,15,4,8
704,1,1,15,5,1
705,1,1,15,5,2
706,1,1,15,5,3
707,1,1,15,5,4
708,1,1,15,5,5
709,1,1,15,5,6
710,1,1,15,5,7
711,1,1,15,5,8
712,1,1,15,6,1
713,1,1,15,6,2
714,1,1,15,6,3
715,1,1,15,6,4
716,1,1,15,6,5
717,1,1,15,6,6
718,1,1,15,6,7
719,1,1,15,6,8
720,1,1,16,1,1
721,1,1,16,1,2
722,1,1,16,1,3
723,1,1,16,1,4
724,1,1,16,1,5
725,1,1,16,1,6
726,1,1,16,1,7
727,1,1,16,1,8
728,1,1,16,2,1
729,1,1,16,2,2
730,1,1,16,2,3
731,1,1,16,2,4
732,1,1,16,2,5
733,1,1,16,2,6
734,1,1,16,2,7
735,1,1,16,2,8
736,1,1,16,3,1
737,1,1,16,3,2
738,1,1,16,3,3
739,1,1,16,3,4
740,1,1,16,3,5
741,1,1,16,3,6
742,1,1,16,3,7
743,1,1,16,3,8
744,1,1,16,4,1
745,1,1,16,4,2
746,1,1,16,4,3
747,1,1,16,4,4
748,1,1,16,4,5
749,1,1,16,4,6
750,1,1,16,4,7
751,1,1,16,4,8
752,1,1,16,5,1
753,1,1,16,5,2
754,1,1,16,5,3
755,1,1,16,5,4
756,1,1,16,5,5
757,1,1,16,5,6
758,1,1,16,5,7
759,1,1,16,5,8
760,1,1,16,6,1
761,1,1,16,6,2
762,1,1,16,6,3
763,1,1,16,6,4
764,1,1,16,6,5
765,1,1,16,6,6
766,1,1,16,6,7
767,1,1,16,6,8
768,1,2,1,1,1
769,1,2,1,1,2
770,1,2,1,1,3
771,1,2,1,1,4
772,1,2,1,1,5
773,1,2,1,1,6
774,1,2,1,1,7
775,1,2,1,1,8
776,1,2,1,2,1
777,1,2,1,2,2
778,1,2,1,2,3
779,1,2,1,2,4
780,1,2,1,2,5
781,1,2,1,2,6
782,1,2,1,2,7
783,1,2,1,2,8
784,1,2,1,3,1
785,1,2,1,3,2
786,1,2,1,3,3
787,1,2,1,3,4
788,1,2,1,3,5
789,1,2,1,3,6
790,1,2,1,3,7
791,1,2,1,3,8
792,1,2,1,4,1
793,1,2,1,4,2
794,1,2,1,4,3
795,1,2,1,4,4
796,1,2,1,4,5
797,1,2,1,4,6
798,1,2,1,4,7
799,1,2,1,4,8
800,1,2,1,5,1
801,1,2,1,5,2
802,1,2,1,5,3
803,1,2,1,5,4
804,1,2,1,5,5
805,1,2,1,5,6
806,1,2,1,5,7
807,1,2,1,5,8
808,1,2,1,6,1
809,1,2,1,6,2
810,1,2,1,6,3
811,1,2,1,6,4
812,1,2,1,6,5
813,1,2,1,6,6
814,1,2,1,6,7
815,1,2,1,6,8
816,1,2,2,1,1
817,1,2,2,1,2
818,1,2,2,1,3
819,1,2,2,1,4
820,1,2,2,1,5
821,1,2,2,1,6
822,1,2,2,1,7
823,1,2,2,1,8
824,1,2,2,2,1
825,1,2,2,2,2
826,1,2,2,2,3
827,1,2,2,2,4
828,1,2,2,2,5
829,1,2,2,2,6
830,1,2,2,2,7
831,1,2,2,2,8
832,1,2,2,3,1
833,1,2,2,3,2
834,1,2,2,3,3
835,1,2,2,3,4
836,1,2,2,3,5
837,1,2,2,3,6
838,1,2,2,3,7
839,1,2,2,3,8
840,1,2,2,4,1
841,1,2,2,4,2
842,1,2,2,4,3
843,1,2,2,4,4
844,1,2,2,4,5
845,1,2,2,4,6
846,1,2,2,4,7
847,1,2,2,4,8
848,1,2,2,5,1
849,1,2,2,5,2
850,1,2,2,5,3
851,1,2,2,5,4
852,1,2,2,5,5
853,1,2,2,5,6
854,1,2,2,5,7
855,1,2,2,5,8
856,1,2,2,6,1
857,1,2,2,6,2
858,1,2,2,6,3
859,1,2,2,6,4
860,1,2,2,6,5
861,1,2,2,6,6
862,1,2,2,6,7
863,1,2,2,6,8
864,1,2,3,1,1
865,1,2,3,1,2
866,1,2,3,1,3
867,1,2,3,1,4
868,1,2,3,1,5
869,1,2,3,1,6
870,1,2,3,1,7
871,1,2,3,1,8
872,1,2,3,2,1
873,1,2,3,2,2
874,1,2,3,2,3
875,1,2,3,2,4
876,1,2,3,2,5
877,1,2,3,2,6
878,1,2,3,2,7
879,1,2,3,2,8
880,1,2,3,3,1
881,1,2,3,3,2
882,1,2,3,3,3
883,1,2,3,3,4
884,1,2,3,3,5
885,1,2,3,3,6
886,1,2,3,3,7
887,1,2,3,3,8
888,1,2,3,4,1
889,1,2,3,4,2
890,1,2,3,4,3
891,1,2,3,4,4
892,1,2,3,4,5
893,1,2,3,4,6
894,1,2,3,4,7
895,1,2,3,4,8
896,1,2,3,5,1
897,1,2,3,5,2
898,1,2,3,5,3
899,1,2,3,5,4
900,1,2,3,5,5
901,1,2,3,5,6
902,1,2,3,5,7
903,1,2,3,5,8
904,1,2,3,6,1
905,1,2,3,6,2
906,1,2,3,6,3
907,1,2,3,6,4
908,1,2,3,6,5
909,1,2,3,6,6
910,1,2,3,6,7
911,1,2,3,6,8
912,1,2,4,1,1
913,1,2,4,1,2
914,1,2,4,1,3
915,1,2,4,1,4
916,1,2,4,1,5
917,1,2,4,1,6
918,1,2,4,1,7
919,1,2,4,1,8
920,1,2,4,2,1
921,1,2,4,2,2
922,1,2,4,2,3
923,1,2,4,2,4
924,1,2,4,2,5
925,1,2,4,2,6
926,1,2,4,2,7
927,1,2,4,2,8
928,1,2,4,3,1
929,1,2,4,3,2
930,1,2,4,3,3
931,1,2,4,3,4
932,1,2,4,3,5
933,1,2,4,3,6
934,1,2,4,3,7
935,1,2,4,3,8
936,1,2,4,4,1
937,1,2,4,4,2
938,1,2,4,4,3
939,1,2,4,4,4
940,1,2,4,4,5
941,1,2,4,4,6
942,1,2,4,4,7
943,1,2,4,4,8
944,1,2,4,5,1
945,1,2,4,5,2
946,1,2,4,5,3
947,1,2,4,5,4
948,1,2,4,5,5
949,1,2,4,5,6
950,1,2,4,5,7
951,1,2,4,5,8
952,1,2,4,6,1
953,1,2,4,6,2
954,1,2,4,6,3
955,1,2,4,6,4
956,1,2,4,6,5
957,1,2,4,6,6
958,1,2,4,6,7
959,1,2,4,6,8
960,1,2,5,1,1
961,1,2,5,1,2
962,1,2,5,1,3
963,1,2,5,1,4
964,1,2,5,1,5
965,1,2,5,1,6
966,1,2,5,1,7
967,1,2,5,1,8
968,1,2,5,2,1
969,1,2,5,2,2
970,1,2,5,2,3
971,1,2,5,2,4
972,1,2,5,2,5
973,1,2,5,2,6
974,1,2,5,2,7
975,1,2,5,2,8
976,1,2,5,3,1
977,1,2,5,3,2
978,1,2,5,3,3
979,1,2,5,3,4
980,1,2,5,3,5
981,1,2,5,3,6
982,1,2,5,3,7
983,1,2,5,3,8
984,1,2,5,4,1
985,1,2,5,4,2
986,1,2,5,4,3
987,1,2,5,4,4
988,1,2,5,4,5
989,1,2,5,4,6
990,1,2,5,4,7
991,1,2,5,4,8
992,1,2,5,5,1
993,1,2,5,5,2
994,1,2,5,5,3
995,1,2,5,5,4
996,1,2,5,5,5
997,1,2,5,5,6
998,1,2,5,5,7
999,1,2,5,5,8
1000,1,2,5,6,1
1001,1,2,5,6,2
1002,1,2,5,6,3
1003,1,2,5,6,4
1004,1,2,5,6,5
1005,1,2,5,6,6
1006,1,2,5,6,7
1007,1,2,5,6,8
1008,1,2,6,1,1
1009,1,2,6,1,2
1010,1,2,6,1,3
1011,1,2,6,1,4
1012,1,2,6,1,5
1013,1,2,6,1,6
1014,1,2,6,1,7
1015,1,2,6,1,8
1016,1,2,6,2,1
1017,1,2,6,2,2
1018,1,2,6,2,3
1019,1,2,6,2,4
1020,1,2,6,2,5
1021,1,2,6,2,6
1022,1,2,6,2,7
1023,1,2,6,2,8
1024,1,2,6,3,1
1025,1,2,6,3,2
1026,1,2,6,3,3
1027,1,2,6,3,4
1028,1,2,6,3,5
1029,1,2,6,3,6
1030,1,2,6,3,7
1031,1,2,6,3,8
1032,1,2,6,4,1
1033,1,2,6,4,2
1034,1,2,6,4,3
1035,1,2,6,4,4
1036,1,2,6,4,5
1037,1,2,6,4,6
1038,1,2,6,4,7
1039,1,2,6,4,8
1040,1,2,6,5,1
1041,1,2,6,5,2
1042,1,2,6,5,3
1043,1,2,6,5,4
1044,1,2,6,5,5
1045,1,2,6,5,6
1046,1,2,6,5,7
1047,1,2,6,5,8
1048,1,2,6,6,1
1049,1,2,6,6,2
1050,1,2,6,6,3
1051,1,2,6,6,4
1052,1,2,6,6,5
1053,1,2,6,6,6
1054,1,2,6,6,7
1055,1,2,6,6,8
1056,1,2,7,1,1
1057,1,2,7,1,2
1058,1,2,7,1,3
1059,1,2,7,1,4
1060,1,2,7,1,5
1061,1,2,7,1,6
1062,1,2,7,1,7
1063,1,2,7,1,8
1064,1,2,7,2,1
1065,1,2,7,2,2
1066,1,2,7,2,3
1067,1,2,7,2,4
1068,1,2,7,2,5
1069,1,2,7,2,6
1070,1,2,7,2,7
1071,1,2,7,2,8
1072,1,2,7,3,1
1073,1,2,7,3,2
1074,1,2,7,3,3
1075,1,2,7,3,4
1076,1,2,7,3,5
1077,1,2,7,3,6
1078,1,2,7,3,7
1079,1,2,7,3,8
1080,1,2,7,4,1
1081,1,2,7,4,2
1082,1,2,7,4,3
1083,1,2,7,4,4
1084,1,2,7,4,5
1085,1,2,7,4,6
1086,1,2,7,4,7
1087,1,2,7,4,8
1088,1,2,7,5,1
1089,1,2,7,5,2
1090,1,2,7,5,3
1091,1,2,7,5,4
1092,1,2,7,5,5
1093,1,2,7,5,6
1094,1,2,7,5,7
1095,1,2,7,5,8
1096,1,2,7,6,1
1097,1,2,7,6,2
1098,1,2,7,6,3
1099,1,2,7,6,4
1100,1,2,7,6,5
1101,1,2,7,6,6
1102,1,2,7,6,7
1103,1,2,7,6,8
1104,1,2,8,1,1
1105,1,2,8,1,2
1106,1,2,8,1,3
1107,1,2,8,1,4
1108,1,2,8,1,5
1109,1,2,8,1,6
1110,1,2,8,1,7
1111,1,2,8,1,8
1112,1,2,8,2,1
1113,1,2,8,2,2
1114,1,2,8,2,3
1115,1,2,8,2,4
1116,1,2,8,2,5
1117,1,2,8,2,6
1118,1,2,8,2,7
1119,1,2,8,2,8
1120,1,2,8,3,1
1121,1,2,8,3,2
1122,1,2,8,3,3
1123,1,2,8,3,4
1124,1,2,8,3,5
1125,1,2,8,3,6
1126,1,2,8,3,7
1127,1,2,8,3,8
1128,1,2,8,4,1
1129,1,2,8,4,2
1130,1,2,8,4,3
1131,1,2,8,4,4
1132,1,2,8,4,5
1133,1,2,8,4,6
1134,1,2,8,4,7
1135,1,2,8,4,8
1136,1,2,8,5,1
1137,1,2,8,5,2
1138,1,2,8,5,3
1139,1,2,8,5,4
1140,1,2,8,5,5
1141,1,2,8,5,6
1142,1,2,8,5,7
1143,1,2,8,5,8
1144,1,2,8,6,1
1145,1,2,8,6,2
1146,1,2,8,6,3
1147,1,2,8,6,4
1148,1,2,8,6,5
1149,1,2,8,6,6
1150,1,2,8,6,7
